gene,shap_importance
TMB,1.3184845
TP53,0.40866536
PTEN,0.14873149
APC,0.1449249
PIK3CA,0.13606112
BRAF,0.117304586
KRAS,0.094712116
TTN,0.08385292
MUC16,0.068669066
VHL,0.057529077
LRP1B,0.05737668
SYNE1,0.0553405
CSMD3,0.054084655
EGFR,0.05292572
RYR2,0.0488006
PIK3R1,0.04568929
DNAH5,0.04529031
PBRM1,0.04251813
NF1,0.04058772
NRAS,0.03863784
CTNNB1,0.037665565
USH2A,0.029602485
DSCAM,0.028802173
KMT2C,0.02871335
PCLO,0.028391642
BAP1,0.02759641
ZFHX4,0.02586401
FLG,0.023105815
SF3B1,0.022986155
ARID1A,0.022759898
FBXW7,0.0224657
KEAP1,0.021876939
MUC17,0.021637762
SPTA1,0.02112422
ANK3,0.020107806
KMT2D,0.020051973
KIAA0100,0.020021113
OBSCN,0.01999574
XIRP2,0.019510724
ADAMTS12,0.01873667
FAM135B,0.018662684
GATA3,0.018251589
RNF43,0.01804063
CDH1,0.017977757
PAPPA2,0.017616903
HYDIN,0.017451663
AHNAK2,0.016680732
ATRX,0.016484596
RB1,0.016475083
ABCA13,0.016277123
GRIN2A,0.015739214
FAT4,0.015527909
RYR3,0.01552672
CACNA1E,0.014795714
ADGRV1,0.014530443
PKHD1L1,0.014247922
FAT3,0.014167903
DNAH7,0.014129746
NAV3,0.013809758
PKHD1,0.013736352
MACF1,0.013647599
LRP2,0.013516627
RP1,0.012807808
PCDH15,0.012304455
CDKN2A,0.012186338
ATM,0.012159995
DMD,0.012121224
KIT,0.011619728
MGAM,0.011579731
ANK2,0.011558085
CDH10,0.011483855
ADGRB3,0.0111220805
DNAH8,0.0110346945
CUBN,0.01099842
SPEF2,0.0109724365
CELSR1,0.010755599
HMCN1,0.010726275
MXRA5,0.010662687
DST,0.0105983075
TNR,0.010594983
COL11A1,0.010546597
SETD2,0.010443859
RYR1,0.0103845745
CDH9,0.010371912
COL6A3,0.010295174
NFE2L2,0.010058901
MYH2,0.0099988915
CUX2,0.009881009
ALB,0.009876744
PLXNA4,0.009791002
FBN2,0.009786609
PTPRD,0.009672714
COL12A1,0.0096704485
TRPS1,0.009623367
CACNA1B,0.009580547
MYH8,0.00939854
DNAH9,0.009381387
LAMA2,0.009337803
CSMD2,0.009334632
DNAH3,0.008750678
PRDM9,0.008746436
MDN1,0.008682165
NALCN,0.008658817
CDK12,0.008647103
COL6A6,0.0086208
MAP3K1,0.008574591
LRP1,0.008550975
RIMS2,0.008414325
FLG2,0.008372445
PIK3CG,0.008360467
CNTNAP5,0.008359564
KCNT2,0.008307733
VPS13B,0.008278576
PCDHB3,0.008175054
BRCA1,0.008048338
ZNF831,0.008018473
PREX2,0.007966706
SYNE2,0.007857146
AHNAK,0.007644065
AKAP9,0.0075088297
HCN1,0.0074035437
LAMA3,0.007190875
RELN,0.007064122
COL14A1,0.007044879
MUC5B,0.00699826
DPP10,0.0069650994
LAMA5,0.0069170487
SACS,0.006893937
ZNF423,0.006869111
ZNF804B,0.006844895
TDRD5,0.006770995
LAMA4,0.0067080995
SPEN,0.0066756518
PTPRT,0.006645861
PLEC,0.0064552156
FAT1,0.006449303
DYNC1H1,0.006448647
NEB,0.0064108307
MYCBP2,0.006372943
DOCK3,0.006358725
ACVR2A,0.0063378094
CMYA5,0.0062570483
VCAN,0.006163167
DYNC2H1,0.0060797944
PEG3,0.006077226
CSMD1,0.005992782
MET,0.005989423
LAMA1,0.0059117684
LYST,0.0058450974
PLCB4,0.0057325643
SDK1,0.0057164254
SI,0.00562572
KIF4B,0.005601182
ASXL3,0.0055710273
SMARCA4,0.005510198
ASPM,0.005508037
SCN10A,0.005504168
MYT1L,0.0054794466
FBN1,0.00547778
PCDHA6,0.0054496704
TLN2,0.0054305694
SMAD4,0.005429346
ZNF236,0.0053998
SPEG,0.0053771148
GRM1,0.005345411
SCN9A,0.005314395
DGKK,0.0052842875
